[2026-06-13 00:02:06.009] UDP 多线程服务器启动，监听端口 9999
[2026-06-13 00:03:06.332] 收到连接请求，来自 ('192.168.169.1', 52096)，StudentID 验证通过
[2026-06-13 00:03:06.340] 模拟丢包：来自 ('192.168.169.1', 52096) seq=1
[2026-06-13 00:03:06.341] 收到乱序 seq=2, 期望 1
[2026-06-13 00:03:06.342] 收到乱序 seq=3, 期望 1
[2026-06-13 00:03:06.344] 收到乱序 seq=4, 期望 1
[2026-06-13 00:03:06.344] 收到乱序 seq=6, 期望 1
[2026-06-13 00:03:06.345] 收到乱序 seq=7, 期望 1
[2026-06-13 00:03:06.346] 收到乱序 seq=5, 期望 1
[2026-06-13 00:03:06.663] 收到数据 seq=1, len=43
[2026-06-13 00:03:06.664] 模拟丢包：来自 ('192.168.169.1', 52096) seq=2
[2026-06-13 00:03:06.665] 收到乱序 seq=3, 期望 2
[2026-06-13 00:03:06.665] 收到乱序 seq=4, 期望 2
[2026-06-13 00:03:06.668] 模拟丢包：来自 ('192.168.169.1', 52096) seq=5
[2026-06-13 00:03:06.691] 收到乱序 seq=6, 期望 2
[2026-06-13 00:03:06.691] 模拟丢包：来自 ('192.168.169.1', 52096) seq=7
[2026-06-13 00:03:06.692] 收到乱序 seq=8, 期望 2
[2026-06-13 00:03:07.007] 收到数据 seq=2, len=42
[2026-06-13 00:03:07.010] 收到数据 seq=3, len=64
[2026-06-13 00:03:07.013] 收到数据 seq=4, len=70
[2026-06-13 00:03:07.013] 模拟丢包：来自 ('192.168.169.1', 52096) seq=5
[2026-06-13 00:03:07.017] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=6
[2026-06-13 00:03:07.017] 收到乱序 seq=7, 期望 5
[2026-06-13 00:03:07.018] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=8
[2026-06-13 00:03:07.043] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=10
[2026-06-13 00:03:07.043] 模拟丢包：来自 ('192.168.169.1', 52096) seq=11
[2026-06-13 00:03:07.018] 收到乱序 seq=9, 期望 5
[2026-06-13 00:03:07.358] 收到数据 seq=5, len=76
[2026-06-13 00:03:07.361] 收到乱序 seq=6, 期望 5
[2026-06-13 00:03:07.362] 模拟丢包：来自 ('192.168.169.1', 52096) seq=7
[2026-06-13 00:03:07.364] 模拟丢包：来自 ('192.168.169.1', 52096) seq=8
[2026-06-13 00:03:07.371] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=9
[2026-06-13 00:03:07.372] 收到乱序 seq=12, 期望 6
[2026-06-13 00:03:07.372] 收到乱序 seq=10, 期望 6
[2026-06-13 00:03:07.372] 模拟包损坏：来自 ('192.168.169.1', 52096) seq=11
[2026-06-13 00:03:07.372] 收到乱序 seq=13, 期望 6
[2026-06-13 00:03:07.686] 收到数据 seq=6, len=64
[2026-06-13 00:03:07.688] 收到乱序 seq=7, 期望 6
[2026-06-13 00:03:07.689] 收到乱序 seq=9, 期望 6
[2026-06-13 00:03:07.689] 模拟丢包：来自 ('192.168.169.1', 52096) seq=8
[2026-06-13 00:03:07.689] 收到乱序 seq=10, 期望 7
[2026-06-13 00:03:07.689] 收到乱序 seq=11, 期望 7
[2026-06-13 00:03:07.697] 收到乱序 seq=12, 期望 7
[2026-06-13 00:03:07.698] 收到乱序 seq=13, 期望 7
[2026-06-13 00:03:07.701] 模拟丢包：来自 ('192.168.169.1', 52096) seq=14
[2026-06-13 00:03:08.009] 收到数据 seq=7, len=54
[2026-06-13 00:03:08.009] 收到乱序 seq=8, 期望 7
[2026-06-13 00:03:08.010] 收到乱序 seq=9, 期望 7
[2026-06-13 00:03:08.011] 收到乱序 seq=10, 期望 8
[2026-06-13 00:03:08.011] 收到乱序 seq=11, 期望 8
[2026-06-13 00:03:08.011] 收到乱序 seq=12, 期望 8
[2026-06-13 00:03:08.011] 收到乱序 seq=13, 期望 8
[2026-06-13 00:03:08.012] 收到乱序 seq=14, 期望 8
[2026-06-13 00:03:08.016] 收到乱序 seq=15, 期望 8
[2026-06-13 00:03:08.328] 收到数据 seq=8, len=53
[2026-06-13 00:03:08.335] 模拟丢包：来自 ('192.168.169.1', 52096) seq=9
[2026-06-13 00:03:08.335] 收到乱序 seq=10, 期望 9
[2026-06-13 00:03:08.335] 收到乱序 seq=12, 期望 9
[2026-06-13 00:03:08.335] 收到乱序 seq=11, 期望 9
